1, 0, 0.984439, 1, 0.0652102, 0.444392, -0.893456, -0.185399, 0.443588, -0.876845, 30.7346, -34.1076, 378.443, -0.158588, 0.279435, 0.0684232, -0.430151, 0.365668
2, 0.0166833, 0.982992, 1, 0.0657059, 0.439301, -0.895934, -0.194578, 0.454279, -0.86935, 30.5652, -35.1449, 380.633, -0.155676, 0.27544, 0.0771694, -0.435706, 0.372864
3, 0.0333667, 0.983255, 1, 0.0586732, 0.433973, -0.899013, -0.201266, 0.437773, -0.876269, 31.1537, -35.7724, 382.232, -0.161054, 0.272197, 0.0825687, -0.44046, 0.353486
4, 0.05005, 0.983521, 1, 0.0579896, 0.436152, -0.898003, -0.204761, 0.451608, -0.868403, 32.4411, -36.1056, 383.915, -0.159822, 0.26924, 0.0855072, -0.442204, 0.363846
5, 0.0667333, 0.982901, 1, 0.0438722, 0.422419, -0.905338, -0.218435, 0.458896, -0.861221, 32.845, -36.3053, 385.693, -0.164713, 0.265751, 0.0913951, -0.455921, 0.355754
6, 0.0834167, 0.984123, 1, 0.0487536, 0.423948, -0.904373, -0.215494, 0.45592, -0.863539, 32.2886, -36.7518, 386.492, -0.165606, 0.263191, 0.0952324, -0.450137, 0.352471
7, 0.1001, 0.985017, 1, 0.0668258, 0.425398, -0.902536, -0.218687, 0.435982, -0.872981, 31.4065, -37.933, 386.936, -0.163778, 0.257475, 0.093825, -0.433911, 0.342373
8, 0.116783, 0.984417, 1, 0.0719152, 0.394514, -0.916072, -0.21841, 0.458613, -0.861378, 30.3681, -39.4179, 386.825, -0.165458, 0.253195, 0.094097, -0.425636, 0.335945
9, 0.133467, 0.984752, 1, 0.081663, 0.433793, -0.897304, -0.226455, 0.458237, -0.859498, 29.8732, -40.455, 386.389, -0.165183, 0.255337, 0.0971315, -0.43084, 0.360801
10, 0.15015, 0.985347, 1, 0.0814132, 0.419048, -0.904307, -0.233667, 0.452623, -0.860541, 29.9918, -40.9117, 391.475, -0.157073, 0.256177, 0.100275, -0.437419, 0.356699
11, 0.166833, 0.987021, 1, 0.0826954, 0.401704, -0.912028, -0.257085, 0.429181, -0.865859, 29.6874, -41.1905, 398.5, -0.150978, 0.248329, 0.108843, -0.442012, 0.337008
12, 0.183517, 0.98592, 1, 0.0777255, 0.384214, -0.919967, -0.25901, 0.441343, -0.859145, 28.6887, -40.7856, 400.906, -0.139005, 0.245309, 0.112018, -0.443537, 0.344554
13, 0.2002, 0.985184, 1, 0.0827294, 0.386015, -0.918775, -0.257056, 0.439847, -0.860498, 27.2952, -41.1328, 401.186, -0.138701, 0.244704, 0.115352, -0.440129, 0.344664
14, 0.216883, 0.985248, 1, 0.0723996, 0.359695, -0.930257, -0.26477, 0.43301, -0.861626, 25.5739, -41.3793, 401.553, -0.135889, 0.2441, 0.115211, -0.446662, 0.328151
15, 0.233567, 0.985625, 1, 0.0753569, 0.352853, -0.932639, -0.26, 0.431383, -0.863892, 24.0726, -41.5782, 401.5, -0.134263, 0.243151, 0.116197, -0.4413, 0.3244
16, 0.25025, 0.984404, 1, 0.0710714, 0.335558, -0.939335, -0.252618, 0.417574, -0.872821, 23.7771, -41.5355, 402.289, -0.126288, 0.24203, 0.116224, -0.436626, 0.312333
17, 0.266933, 0.98529, 1, 0.056449, 0.337188, -0.939744, -0.233357, 0.417735, -0.87809, 23.9285, -41.0005, 401.86, -0.127612, 0.240413, 0.116328, -0.431829, 0.310478
18, 0.283617, 0.9847, 1, 0.0656284, 0.33221, -0.94092, -0.245541, 0.412511, -0.877237, 24.2947, -40.1442, 402.743, -0.124105, 0.242847, 0.119056, -0.436651, 0.308122
19, 0.3003, 0.985375, 1, 0.0601751, 0.336793, -0.939654, -0.239003, 0.417198, -0.876826, 24.4261, -39.0661, 402.894, -0.122463, 0.240864, 0.119518, -0.434174, 0.314264
20, 0.316983, 0.985823, 1, 0.0865729, 0.328491, -0.940531, -0.229998, 0.360637, -0.903904, 23.9968, -37.3484, 404.887, -0.108008, 0.24587, 0.117854, -0.417402, 0.28999
21, 0.333667, 0.982978, 1, 0.0971568, 0.357759, -0.928746, -0.329014, 0.378293, -0.865242, 23.6748, -34.7153, 405.401, -0.117741, 0.237442, 0.116999, -0.458392, 0.314453
22, 0.35035, 0.982322, 1, 0.121623, 0.311473, -0.94244, -0.310161, 0.398949, -0.862925, 23.7191, -33.6711, 408.719, -0.121706, 0.233559, 0.114063, -0.424899, 0.294247
23, 0.367033, 0.98125, 1, 0.0949065, 0.333511, -0.937957, -0.327844, 0.388283, -0.861252, 23.7866, -33.9704, 409.55, -0.127901, 0.233542, 0.115204, -0.448736, 0.295135
24, 0.383717, 0.98113, 1, 0.0878435, 0.331416, -0.939386, -0.328509, 0.400598, -0.855338, 23.7494, -34.6503, 408.737, -0.130532, 0.22702, 0.114484, -0.444867, 0.298557
25, 0.4004, 0.980948, 1, 0.0643658, 0.32481, -0.943587, -0.347979, 0.39067, -0.852225, 23.9017, -35.0045, 408.532, -0.130676, 0.226331, 0.116204, -0.465739, 0.289094
26, 0.417083, 0.982214, 1, 0.0871236, 0.30195, -0.949334, -0.348346, 0.38833, -0.853144, 23.9002, -34.8947, 407.025, -0.126555, 0.224155, 0.115607, -0.45048, 0.278466
27, 0.433767, 0.982863, 1, 0.069095, 0.332172, -0.940684, -0.350294, 0.397905, -0.847918, 23.7312, -34.5666, 406.812, -0.120812, 0.228718, 0.116291, -0.469891, 0.308171
28, 0.45045, 0.982952, 1, 0.0542803, 0.335885, -0.940338, -0.349797, 0.39317, -0.850329, 23.5344, -34.3841, 406.169, -0.115854, 0.231759, 0.115991, -0.481339, 0.31252
29, 0.467133, 0.984605, 1, 0.0730113, 0.375275, -0.924034, -0.295981, 0.384439, -0.874415, 23.6147, -34.4209, 404.415, -0.109719, 0.232504, 0.117051, -0.444077, 0.332476
30, 0.483817, 0.983587, 1, 0.0878588, 0.380983, -0.920398, -0.291188, 0.386574, -0.875083, 23.8326, -34.8482, 403.692, -0.109929, 0.231064, 0.118393, -0.43295, 0.336695
31, 0.5005, 0.984485, 1, 0.0789652, 0.38963, -0.91758, -0.273323, 0.3917, -0.878559, 23.7961, -34.9898, 403.018, -0.113008, 0.2346, 0.119689, -0.433216, 0.340607
32, 0.517183, 0.984786, 1, 0.0827791, 0.386857, -0.918417, -0.262033, 0.390282, -0.88262, 23.7011, -34.8105, 403.364, -0.110897, 0.237766, 0.120723, -0.428777, 0.33925
33, 0.533867, 0.984362, 1, 0.070577, 0.377228, -0.923427, -0.265881, 0.386324, -0.883211, 23.6976, -34.5374, 402.604, -0.112579, 0.236203, 0.12131, -0.434204, 0.329363
34, 0.55055, 0.984638, 1, 0.0698215, 0.380672, -0.92207, -0.261016, 0.386067, -0.884773, 23.5832, -34.5829, 403.205, -0.110417, 0.237796, 0.12234, -0.434119, 0.332804
35, 0.567233, 0.983877, 1, 0.0626688, 0.382888, -0.921667, -0.246995, 0.382114, -0.890495, 23.6868, -34.7725, 403.264, -0.110935, 0.23551, 0.121577, -0.427362, 0.33009
36, 0.583917, 0.98431, 1, 0.0678245, 0.382152, -0.921607, -0.25405, 0.378252, -0.890159, 23.6312, -34.7625, 402.827, -0.112468, 0.243317, 0.123948, -0.43864, 0.326935
37, 0.6006, 0.984471, 1, 0.0574458, 0.38428, -0.921428, -0.257968, 0.378072, -0.889109, 23.7928, -34.802, 403.24, -0.112619, 0.239122, 0.123398, -0.441592, 0.327799
