1, 0, 0.947324, 1, 0.2785, 0.390655, -0.877398, -0.0598653, 0.4615, -0.885118, -4.57805, -25.7908, 309.651, -0.120095, 0.110071, -0.020379, -0.0278158, 0.366875
2, 0.0333667, 0.941558, 1, 0.288045, 0.4372, -0.85199, -0.0494247, 0.494815, -0.867592, -4.40236, -25.97, 309.69, -0.10147, 0.106418, -0.0247265, -0.00589309, 0.430506
3, 0.0667333, 0.942055, 1, 0.344763, 0.34867, -0.871532, -0.240047, 0.514065, -0.823477, -5.36258, -24.8982, 306.654, -0.0682752, 0.0930228, -0.040631, -0.0431026, 0.43728
4, 0.1001, 0.9393, 1, 0.22108, 0.280127, -0.934159, -0.141516, 0.356835, -0.923386, -4.86281, -23.6223, 301.288, -0.0449511, 0.0801819, -0.0434892, -0.0342229, 0.315368
5, 0.133467, 0.93904, 1, 0.223209, 0.271573, -0.936176, -0.141125, 0.353075, -0.92489, -4.62992, -23.8952, 301.553, -0.0531808, 0.0799211, -0.0504611, -0.0302279, 0.299205
6, 0.166833, 0.936379, 1, 0.208836, 0.274565, -0.938617, -0.14924, 0.339061, -0.928851, -5.84308, -24.2644, 303.274, -0.0502992, 0.0831834, -0.0556547, -0.0469009, 0.297715
7, 0.2002, 0.937202, 1, 0.218306, 0.281583, -0.934373, -0.180432, 0.377028, -0.908457, -5.90712, -23.8778, 299.532, -0.0390584, 0.0805919, -0.0576451, -0.0498147, 0.334015
8, 0.233567, 0.944852, 1, 0.19544, 0.223622, -0.95488, -0.197856, 0.403099, -0.893512, -5.60798, -23.2716, 293.575, -0.0196803, 0.0674628, -0.0607899, -0.0536662, 0.338455
9, 0.266933, 0.952853, 1, 0.237154, 0.35016, -0.906171, -0.190735, 0.420524, -0.887006, -6.03275, -24.0314, 300.245, -0.0211745, 0.0780838, -0.0695225, -0.0388108, 0.413451
10, 0.3003, 0.951155, 1, 0.28738, 0.431354, -0.855188, -0.162775, 0.442644, -0.8818, -5.50236, -25.4531, 309.803, -0.075399, 0.0964506, -0.056365, -0.035013, 0.426746
11, 0.333667, 0.939572, 1, 0.30608, 0.431, -0.848855, -0.0261403, 0.472813, -0.880775, -5.35109, -25.8421, 313.068, -0.0753996, 0.105649, -0.047304, 0.0271217, 0.43611
12, 0.367033, 0.940158, 1, 0.299605, 0.421965, -0.855677, -0.0445175, 0.457917, -0.88788, -5.34144, -25.5582, 312.484, -0.0707845, 0.102929, -0.0467892, 0.0153315, 0.427002
13, 0.4004, 0.939662, 1, 0.297117, 0.42582, -0.854634, -0.0276676, 0.469549, -0.882473, -5.47075, -25.6358, 312.723, -0.0668647, 0.1025, -0.0449277, 0.0242668, 0.439964
14, 0.433767, 0.940674, 1, 0.298492, 0.415543, -0.859201, -0.0476768, 0.472486, -0.880048, -5.648, -25.52, 311.829, -0.0605804, 0.102466, -0.0456023, 0.0148871, 0.442182
15, 0.467133, 0.937018, 1, 0.297343, 0.41681, -0.858986, -0.0390279, 0.45673, -0.888749, -5.72228, -25.5439, 311.839, -0.0608299, 0.102769, -0.043031, 0.0166623, 0.433019
16, 0.5005, 0.937069, 1, 0.283136, 0.399956, -0.871705, -0.0517663, 0.456003, -0.888472, -5.85784, -25.4755, 311.252, -0.0593214, 0.101996, -0.0414635, 0.00245242, 0.425631
17, 0.533867, 0.935628, 1, 0.28244, 0.383056, -0.879486, -0.0474728, 0.456173, -0.888624, -6.0369, -25.331, 310.671, -0.0586475, 0.102292, -0.0426688, 0.00386944, 0.41521
18, 0.567233, 0.935761, 1, 0.273721, 0.397579, -0.87579, -0.0511386, 0.473544, -0.879284, -6.22796, -25.3429, 310.999, -0.057594, 0.104791, -0.0413038, -0.00633568, 0.435512
19, 0.6006, 0.937026, 1, 0.255127, 0.36084, -0.897054, -0.0601389, 0.478836, -0.875842, -6.63034, -25.2257, 311.139, -0.0542851, 0.108489, -0.0421147, -0.0291837, 0.421426
20, 0.633967, 0.938275, 1, 0.250808, 0.353647, -0.901127, -0.045113, 0.464096, -0.884636, -6.90525, -25.2861, 311.324, -0.05445, 0.110922, -0.0427444, -0.0271287, 0.408819
21, 0.667333, 0.939712, 1, 0.270997, 0.302956, -0.913662, -0.044472, 0.470857, -0.881088, -7.21664, -25.2928, 311.421, -0.0523903, 0.116991, -0.0440582, -0.0262271, 0.387589
22, 0.7007, 0.939032, 1, 0.268647, 0.333027, -0.903837, -0.0526663, 0.456472, -0.888177, -7.49812, -25.2102, 311.018, -0.0534911, 0.118302, -0.0452078, -0.0316792, 0.394828
23, 0.734067, 0.940378, 1, 0.266283, 0.329925, -0.905672, -0.0354224, 0.456405, -0.889067, -7.71869, -25.0439, 310.646, -0.0494469, 0.119523, -0.0479934, -0.0237925, 0.395612
24, 0.767433, 0.940811, 1, 0.29025, 0.295111, -0.91031, -0.0388756, 0.446693, -0.893842, -7.90083, -24.9959, 310.69, -0.0519652, 0.119561, -0.0486751, -0.0141074, 0.369697
25, 0.8008, 0.943827, 1, 0.283007, 0.331453, -0.900025, -0.0389597, 0.448375, -0.892996, -8.19072, -24.881, 310.209, -0.0520344, 0.119862, -0.0509674, -0.013858, 0.389035
26, 0.834167, 0.943686, 1, 0.301366, 0.302276, -0.904327, -0.0310206, 0.436114, -0.899357, -8.5916, -24.8365, 310.195, -0.0510156, 0.122797, -0.0505431, -0.00511917, 0.368125
27, 0.867533, 0.803583, 1, 0.294467, 0.2846, -0.9123, -0.0405496, 0.398196, -0.916404, -8.93143, -24.8071, 309.718, -0.0482337, 0.124855, -0.0503476, -0.0197655, 0.341066
28, 0.9009, 0.946536, 1, 0.305419, 0.268892, -0.913464, -0.0568925, 0.375184, -0.925203, -9.81916, -24.8332, 311.437, -0.0566513, 0.124234, -0.0447133, -0.0212104, 0.313375
29, 0.934267, 0.834021, 1, 0.298928, 0.261464, -0.917758, -0.0732048, 0.357853, -0.930904, -9.91657, -24.6205, 309.722, -0.0558127, 0.127693, -0.0478021, -0.0383686, 0.302637
30, 0.967633, 0.94553, 1, 0.306728, 0.253942, -0.917296, -0.0743345, 0.355642, -0.931662, -10.6637, -24.7, 312.274, -0.0594206, 0.1265, -0.0428748, -0.0326303, 0.294652
31, 1.001, 0.84345, 1, 0.298879, 0.24908, -0.921211, -0.0824265, 0.348906, -0.933526, -10.6425, -24.4315, 309.838, -0.0570739, 0.129255, -0.0486331, -0.0438018, 0.291381
32, 1.03437, 0.841401, 1, 0.283776, 0.242109, -0.927823, -0.0886173, 0.342609, -0.935289, -11.2941, -24.4213, 311.805, -0.0598634, 0.132216, -0.0448536, -0.0577813, 0.280838
33, 1.06773, 0.946563, 1, 0.274157, 0.252953, -0.927822, -0.0848334, 0.349137, -0.933224, -11.7413, -24.4587, 312.14, -0.0658817, 0.130666, -0.0415213, -0.0577617, 0.284738
34, 1.1011, 0.849161, 1, 0.293187, 0.246579, -0.92371, -0.0769465, 0.34102, -0.936902, -11.589, -24.1219, 309.801, -0.0573638, 0.134757, -0.0485373, -0.049514, 0.284614
35, 1.13447, 0.942147, 1, 0.23839, 0.263122, -0.934846, -0.0848213, 0.346123, -0.934347, -11.9384, -24.0319, 310.097, -0.0518596, 0.132345, -0.0424775, -0.0767613, 0.300491
