1, 0, 0.974448, 1, 0.190821, 0.262387, -0.945907, 0.153346, 0.228776, -0.961326, -100.821, -58.1671, 492.931, 0.0904952, -0.00188195, -0.304189, 0.295251, 0.302471
2, 0.0166833, 0.973572, 1, 0.181579, 0.246152, -0.95207, 0.166602, 0.243971, -0.955365, -99.1087, -58.9586, 492.59, 0.11534, -0.0161313, -0.351794, 0.317189, 0.313742
3, 0.0333667, 0.97238, 1, 0.202895, 0.245419, -0.947947, 0.181926, 0.251956, -0.950485, -98.3447, -59.0946, 490.51, 0.165219, 0.00814786, -0.38608, 0.303233, 0.352165
4, 0.05005, 0.972261, 1, 0.226813, 0.246503, -0.942227, 0.206329, 0.253746, -0.945009, -97.4589, -59.5033, 486.732, 0.224596, 0.0124414, -0.414498, 0.318075, 0.39555
5, 0.0667333, 0.971185, 1, 0.237374, 0.250851, -0.938471, 0.211428, 0.269383, -0.939538, -96.8164, -59.6891, 483.783, 0.260273, 0.00935603, -0.427719, 0.335111, 0.434212
6, 0.0834167, 0.971957, 1, 0.246973, 0.246882, -0.937045, 0.227184, 0.270996, -0.935387, -96.1173, -59.7553, 481.418, 0.280562, 0.00990868, -0.437549, 0.343985, 0.445082
7, 0.1001, 0.968799, 1, 0.256593, 0.254614, -0.93238, 0.239739, 0.272649, -0.931766, -95.6688, -59.8123, 480.125, 0.287482, 0.0111634, -0.440846, 0.356074, 0.450944
8, 0.116783, 0.969051, 1, 0.253532, 0.251923, -0.933947, 0.241424, 0.282178, -0.928488, -95.4521, -59.7628, 479.336, 0.290416, 0.0118754, -0.441702, 0.356382, 0.457205
9, 0.133467, 0.968435, 1, 0.254816, 0.252823, -0.933354, 0.240884, 0.273126, -0.931331, -95.2766, -59.7375, 478.91, 0.291668, 0.0128241, -0.442746, 0.352863, 0.454047
10, 0.15015, 0.967835, 1, 0.256222, 0.253365, -0.932822, 0.232472, 0.27776, -0.932098, -95.0553, -59.6142, 478.605, 0.295531, 0.0129572, -0.441959, 0.351144, 0.46221
11, 0.166833, 0.96947, 1, 0.266015, 0.25348, -0.930045, 0.235999, 0.287896, -0.928127, -94.9166, -59.4713, 478.595, 0.293846, 0.0138837, -0.441606, 0.360441, 0.463412
12, 0.183517, 0.967688, 1, 0.295729, 0.263157, -0.91831, 0.248376, 0.295708, -0.922424, -94.7239, -59.4141, 478.632, 0.290364, 0.011094, -0.441375, 0.390208, 0.460338
13, 0.2002, 0.967653, 1, 0.317895, 0.267679, -0.909555, 0.267387, 0.308685, -0.912808, -94.5498, -59.3271, 479.193, 0.291216, 0.0111021, -0.440693, 0.416368, 0.461843
14, 0.216883, 0.970345, 1, 0.311264, 0.277319, -0.90896, 0.268274, 0.320864, -0.908337, -94.3161, -59.1806, 479.021, 0.291352, 0.0113663, -0.440016, 0.420162, 0.474345
15, 0.233567, 0.969011, 1, 0.310267, 0.279516, -0.908628, 0.267269, 0.321802, -0.908301, -94.2266, -59.2341, 478.978, 0.29145, 0.00981423, -0.439955, 0.422102, 0.476478
16, 0.25025, 0.969781, 1, 0.308684, 0.292891, -0.904947, 0.273895, 0.327259, -0.904369, -93.893, -59.1244, 478.813, 0.290687, 0.00819939, -0.439793, 0.433003, 0.484873
17, 0.266933, 0.970039, 1, 0.298694, 0.299073, -0.906277, 0.272036, 0.332572, -0.902991, -93.635, -59.0776, 478.463, 0.291903, 0.00924439, -0.4394, 0.430554, 0.494837
18, 0.283617, 0.969679, 1, 0.302961, 0.289351, -0.908015, 0.269731, 0.328671, -0.905108, -93.6285, -59.1299, 478.649, 0.290752, 0.00865048, -0.440087, 0.426847, 0.485926
19, 0.3003, 0.969558, 1, 0.293562, 0.293271, -0.909843, 0.272708, 0.325357, -0.905413, -93.3414, -59.1183, 478.222, 0.292164, 0.00633516, -0.439401, 0.426543, 0.489713
20, 0.316983, 0.971141, 1, 0.295558, 0.291948, -0.909622, 0.276816, 0.331734, -0.901846, -93.2078, -59.2413, 478.377, 0.292289, 0.00567102, -0.439548, 0.432325, 0.491497
21, 0.333667, 0.969563, 1, 0.294236, 0.292181, -0.909975, 0.278747, 0.328253, -0.902524, -93.0844, -59.2573, 477.876, 0.290526, 0.00573466, -0.439258, 0.431028, 0.488111
22, 0.35035, 0.970537, 1, 0.292256, 0.293527, -0.91018, 0.283454, 0.32785, -0.901204, -92.9254, -59.3066, 477.898, 0.291917, 0.00764663, -0.439072, 0.430477, 0.489949
23, 0.367033, 0.969655, 1, 0.291624, 0.290127, -0.911472, 0.284436, 0.324284, -0.902184, -92.8484, -59.3504, 477.996, 0.288353, 0.00931475, -0.438937, 0.425839, 0.483247
24, 0.383717, 0.967568, 1, 0.288622, 0.291597, -0.911959, 0.283673, 0.323445, -0.902725, -92.7497, -59.3911, 478.022, 0.289252, 0.00786344, -0.439189, 0.425779, 0.485033
