1, 0, 0.979011, 1, 0.342511, 0.322803, -0.882317, 0.056244, 0.400731, -0.914468, -47.5036, -35.1247, 377.126, -0.0264732, 0.198025, -0.0681535, 0.0179265, 0.379271
2, 0.0166833, 0.978904, 1, 0.334143, 0.32041, -0.886389, 0.0559847, 0.407, -0.911711, -48.0554, -35.2769, 377.997, -0.0137248, 0.178441, -0.0556489, 0.0384457, 0.398072
3, 0.0333667, 0.978106, 1, 0.336024, 0.323118, -0.884694, 0.0572813, 0.401415, -0.914103, -47.2776, -34.9885, 378.185, -0.00744513, 0.181965, -0.0544023, 0.0352506, 0.403621
4, 0.05005, 0.977807, 1, 0.328552, 0.324834, -0.886869, 0.0562866, 0.390191, -0.919012, -47.0703, -34.7163, 378.74, -0.00851058, 0.177453, -0.054863, 0.0347412, 0.397458
5, 0.0667333, 0.978145, 1, 0.330295, 0.318281, -0.888596, 0.0648539, 0.388601, -0.919121, -47.0694, -34.5412, 378.773, -0.00761345, 0.178269, -0.054298, 0.03858, 0.393513
6, 0.0834167, 0.979343, 1, 0.338347, 0.314573, -0.886885, 0.0667881, 0.379868, -0.922626, -47.6043, -34.5465, 378.199, -0.0141238, 0.179482, -0.0538533, 0.0415682, 0.380657
7, 0.1001, 0.979317, 1, 0.337532, 0.311879, -0.888146, 0.0700197, 0.394239, -0.916337, -48.8285, -34.9889, 378.329, -0.0099617, 0.182707, -0.054867, 0.0407088, 0.391022
8, 0.116783, 0.976866, 1, 0.338086, 0.305686, -0.890086, 0.0686122, 0.397145, -0.915188, -49.169, -35.2038, 377.263, -0.0140618, 0.181088, -0.0566722, 0.0428354, 0.385052
9, 0.133467, 0.977038, 1, 0.337207, 0.312488, -0.888056, 0.06654, 0.399822, -0.914174, -49.4971, -35.6252, 378.011, -0.014259, 0.182754, -0.0550165, 0.0393769, 0.390294
10, 0.15015, 0.978249, 1, 0.343363, 0.318969, -0.88338, 0.0613003, 0.390036, -0.918757, -49.6263, -35.8491, 377.636, -0.0159467, 0.181528, -0.056538, 0.0416256, 0.386592
11, 0.166833, 0.978998, 1, 0.342799, 0.314666, -0.885141, 0.0660523, 0.392374, -0.917431, -49.7545, -36.0784, 377.056, -0.0131059, 0.180548, -0.0560142, 0.0451233, 0.388325
12, 0.183517, 0.979772, 1, 0.340874, 0.320408, -0.883823, 0.0696912, 0.399872, -0.913918, -49.9863, -36.2977, 376.491, -0.0163934, 0.184272, -0.0558255, 0.0419909, 0.392288
13, 0.2002, 0.978453, 1, 0.337686, 0.317082, -0.886243, 0.0662782, 0.403519, -0.912567, -50.6718, -36.5743, 376.716, -0.0149234, 0.182893, -0.0561143, 0.0408082, 0.394088
14, 0.216883, 0.978825, 1, 0.343677, 0.317409, -0.88382, 0.0518605, 0.402983, -0.913737, -51.1682, -36.5965, 376.869, -0.0136417, 0.183139, -0.057711, 0.0366636, 0.396048
15, 0.233567, 0.980139, 1, 0.348257, 0.322574, -0.880149, 0.0438482, 0.396827, -0.916846, -51.1407, -36.3962, 376.943, -0.0139661, 0.186088, -0.0596753, 0.0310154, 0.394854
16, 0.25025, 0.980581, 1, 0.353243, 0.332701, -0.874374, 0.0603996, 0.433742, -0.89901, -51.3149, -36.3315, 377.937, -0.0128449, 0.185794, -0.0580345, 0.0468663, 0.422004
17, 0.266933, 0.9825, 1, 0.365544, 0.37883, -0.850215, 0.127005, 0.422495, -0.897423, -51.9135, -35.9323, 378.608, 0.000503775, 0.176523, -0.0522969, 0.107316, 0.45131
18, 0.283617, 0.981466, 1, 0.36293, 0.370682, -0.854913, 0.119025, 0.402157, -0.907801, -52.3857, -36.0481, 379.195, -0.00435863, 0.183851, -0.056962, 0.0884252, 0.430659
19, 0.3003, 0.982893, 1, 0.364689, 0.378683, -0.850648, 0.137932, 0.4105, -0.901368, -52.7578, -35.4728, 379.533, -0.00124287, 0.18362, -0.053354, 0.102255, 0.44168
20, 0.316983, 0.980917, 1, 0.372865, 0.382764, -0.84526, 0.0943077, 0.414473, -0.905162, -52.3924, -34.6965, 377.943, -0.0124851, 0.183835, -0.0534124, 0.0829066, 0.43626
21, 0.333667, 0.980304, 1, 0.37106, 0.352888, -0.858944, 0.0663751, 0.417588, -0.906209, -52.1228, -34.4616, 377.249, -0.0120336, 0.182943, -0.0565466, 0.0649665, 0.423212
22, 0.35035, 0.980471, 1, 0.377772, 0.342022, -0.860412, 0.0648157, 0.413067, -0.908391, -52.1336, -33.5541, 376.27, -0.011667, 0.186192, -0.0589037, 0.0627591, 0.414631
23, 0.367033, 0.979821, 1, 0.36284, 0.33392, -0.869968, 0.0677507, 0.40601, -0.911354, -53.2415, -32.6279, 377.38, -0.00165715, 0.18069, -0.0560598, 0.0620829, 0.415621
24, 0.383717, 0.979795, 1, 0.373158, 0.321546, -0.870265, 0.0755359, 0.393389, -0.916264, -52.5456, -31.9453, 377.674, 0.00197161, 0.182846, -0.0593924, 0.0682619, 0.406029
25, 0.4004, 0.979626, 1, 0.373783, 0.318452, -0.871134, 0.0813768, 0.389863, -0.91727, -52.184, -32.1942, 377.47, -0.000756749, 0.183092, -0.060521, 0.0708922, 0.398719
26, 0.417083, 0.978597, 1, 0.370659, 0.314467, -0.873912, 0.066593, 0.394259, -0.916583, -51.8501, -32.2164, 376.825, -0.00264099, 0.183616, -0.0620319, 0.0606606, 0.397817
27, 0.433767, 0.97773, 1, 0.361387, 0.305498, -0.880949, 0.0564583, 0.392145, -0.918169, -51.6013, -32.2647, 376.34, -0.00540438, 0.182535, -0.0619715, 0.0500124, 0.390088
28, 0.45045, 0.979254, 1, 0.351426, 0.302884, -0.885867, 0.0686646, 0.387276, -0.919403, -51.4084, -32.2271, 376.007, -0.00352305, 0.180689, -0.0620324, 0.0530528, 0.386838
29, 0.467133, 0.979598, 1, 0.355538, 0.299701, -0.885309, 0.0614359, 0.383082, -0.921669, -51.382, -32.3239, 376.233, -0.00803451, 0.179421, -0.0621746, 0.0524614, 0.378989
